Ground Points:
Point 426: X=-83.436, Y=521.503, Z=1941.000
Point 427: X=-80.105, Y=521.503, Z=1941.000
Point 428: X=-76.773, Y=521.503, Z=1941.000
Point 429: X=-73.442, Y=521.503, Z=1941.000
Point 430: X=-70.110, Y=521.503, Z=1941.000
Point 431: X=-67.157, Y=524.459, Z=1952.000
Point 432: X=-63.807, Y=524.459, Z=1952.000
Point 433: X=-60.116, Y=521.503, Z=1941.000
Point 434: X=-56.784, Y=521.503, Z=1941.000
Point 435: X=-53.453, Y=521.503, Z=1941.000
Point 436: X=-50.405, Y=524.459, Z=1952.000
Point 437: X=-47.055, Y=524.459, Z=1952.000
Point 438: X=-43.705, Y=524.459, Z=1952.000
Point 439: X=-40.354, Y=524.459, Z=1952.000
Point 440: X=-37.004, Y=524.459, Z=1952.000
Point 441: X=-33.464, Y=521.503, Z=1941.000
Point 442: X=-30.132, Y=521.503, Z=1941.000
Point 443: X=-26.801, Y=521.503, Z=1941.000
Point 444: X=-23.469, Y=521.503, Z=1941.000
Point 445: X=-20.138, Y=521.503, Z=1941.000
Point 446: X=-16.806, Y=521.503, Z=1941.000
Point 447: X=-13.475, Y=521.503, Z=1941.000
Point 448: X=-10.144, Y=521.503, Z=1941.000
Point 449: X=-6.812, Y=521.503, Z=1941.000
Point 450: X=-3.481, Y=521.503, Z=1941.000
Point 451: X=-0.149, Y=521.503, Z=1941.000
Point 452: X=3.182, Y=521.503, Z=1941.000
Point 453: X=6.514, Y=521.503, Z=1941.000
Point 454: X=9.845, Y=521.503, Z=1941.000
Point 455: X=13.177, Y=521.503, Z=1941.000
Point 456: X=16.508, Y=521.503, Z=1941.000
Point 457: X=19.738, Y=518.817, Z=1931.000
Point 458: X=23.052, Y=518.817, Z=1931.000
Point 459: X=26.503, Y=521.503, Z=1941.000
Point 460: X=29.834, Y=521.503, Z=1941.000
Point 461: X=33.166, Y=521.503, Z=1941.000
Point 462: X=36.309, Y=518.817, Z=1931.000
Point 463: X=39.623, Y=518.817, Z=1931.000
